id	neighborhood	name	site	description
TC89	Keyhole	5th Dimensional Executive Hyperlounge	KE7	Welcome to the Hyperlounge, the ultimate productivity-enhancing conference room designed for dynamic burners like you. We provide a 24/7 ergonomic space for meetings, goofs, stand-ups, bits and more. Stop by for polite water cooler chat or to give a quick status update. If you think you have what it takes to thrive in a fast paced, dynamic organization, come to our Open Interviews and show us what you can bring to the table. Discover the future of meetings at the Hyperlounge, where innovation meets engagement.
TC90	Keyhole	Frequencia	KE8	Nikola Tesla said, “If you want to understand the universe, think in terms of energy, frequency and vibration”. Frequencia embraces and explores the varying ways we connect with the universe through our senses. By creatively experimenting in avenues of fire, sound, light & movement. Everything in the universe is made up of energy. Energy is never destroyed, only transferred. Energy is transferred through vibration. Vibrations resonate at different frequencies. Frequencia is centralized around understanding the energy of vibration and frequency. Tuning into the nature of energy helps us to bridge the gap in understanding our environment, the universe and ourselves.
TC91	Keyhole	The Coven	KE9	Seeking colorful conversation? A sparkly set of nails? Or a sip of strong brew? Meet us at The Coven for shellac manicures and homegrown wine by Nail Witch.
TC92	South Side	Coffee UP	50	Coffee Up serves hot, fresh coffee each morning and throughout the day/evening as we’re able. Visitors are welcome to stay and hang out as they enjoy their awake juice or take it to go. 
TC93	South Side	Atom's Family	51	Come one and all to Atoms Family 2024: Imaginarium Aquarium!  Have your fortune told by Madame Moray as Cuddlefish serves mocktails and cocktails to all our fishy visitors - come with your fins on.  Dive into your feelings with the Atoms Family Pool Boys during our workshop on authentic relating.
TC94	South Side	The Catapult	52	At The Catapult, "You Bring It, We Fling It!".  We're a diner-themed escape room style puzzle that occasionally serves food and always serves non-alcoholic beverages.  The Catapult opens tomorrow!
TC95	South Side	Still Bayou	53 - 55	Welcome to Still Bayou, your swamp oasis. Wander through for swamp treats, a Hurricane party, and dance in the trees with the Will o' the Wisps.
TC96	South Side	The Funkyard	56 - 57	Shop our bazaar; Envelop yourself in a  cornucopia of textures and patterns. Amplify your look and peruse our racks. “Have a snack, or be the snack!” New plus size rack for the Buxom burners. Come thrift and snack with us! Home to the poetry corner, positivity board and LOF official scrapbook. Funk yer burn! 
TC97	South Side	Bikes and Brews	58 - 60	Bikes and brews. We ride bikes, we drink brews. We'll fix your ride or fix ya a drink but only after the wheel decides your fate... We are just your neighborhood bike bar, oh and we also provide the orange community bikes and racks.
TC98	South Side	That's What Cheese Said	61 - 62	We are gettin’ cheesy with it! Participate in the cultivation of gouda vibrations in our swiss cheese inspired ambiance. Grab a grilled cheese on your loop, or stay, hang, and join us in celebration of all things cheesy.
TC99	South Side	Valhalla!	63 - 67	Valhalla! A haven for fallen warriors where mortal men are treated as the Gods they truly are, and prepare themselves for Ragnarok, the last battle. Valhalla is a place for the wanderers and warriors of the Lake to rest their weary feet around a fire and be entertained by stories while drinking mead and eating meat. A place where they can prepare themselves for battle with games of strength, dexterity, and wit. A place to wonder at the beauty of art and partake in Loki’s mischief.
TC100	South Side	TELETWERKERS	68	Welcome to TELETWERKERS Camp - the ultimate convergence of corporate acumen and playa exhilaration. Positioned at the vanguard of the Lakes of Fire experience, we're not just a camp; we're a high-octane, immersive ecosystem where dynamic tele-working and electrifying twerking synergize to redefine paradigms. Here, we're not just pushing the envelope—we're redesigning it for peak performance and unparalleled joy.  Sure, we're taking the piss on corporate buzzwords, but if you need to "work remotely" for some time on satellite internet, stop on by.  Wifi and Espresso from 9-5pm, every day.  Business attire required - but will be provided. Twerking workshops... optional?
TC101	South Side	Radio SGC	69	RadioSGC’s goal is to provide an immersive Lakes of Fire experience that stimulates the mind and body. Where attendees can experience the Burner culture, atmosphere, and artistic expression through the beauty of broadcasting on FM and Digital devices! Tune into volunteer generated content from your car at gate, wherever you camp, at our skillful and consensually placed sound stations, or by joining us live at the radio booth. We even simulcast the Burn soundtrack for those that watch from afar. Want your voice heard? We have a microphone for you and our DJs can promote engagement with you camp's events!
TC102	South Side	Deep Mysteries Teahouse	70 - 71	One bowl moistens the lips and throat; Two bowls shatters loneliness and melancholy; Three bowls, thinking hard, one produces five thousand volumes; Four bowls, lightly sweating, the iniquities of a lifetime disperse towards the pores. Five bowls cleanses muscles and tendons; Six bowls accesses the realm of spirit; One cannot finish the seventh bowl, but feels only a light breeze spring up under the arms.  - from "Song of Tea" by Lu Tong (790–835)
TC103	South Side	Notorious Scoundrels	72	Scoundrels and Gentlemen - cut from the same cloth. Join us every sunset and uncork your dinner in our lounge.
TC104	South Side	Baked on the Lake	73 - 74	Welcome to Baked on the Lake. Come experience our mystical bakery cafe that has risen from the depths of the Imaginarium Aquarium.  Indulge in a delicious selection of freshly baked goods, refreshing beverages, and enchanting atmosphere filled with music and conversation, all nestled on the oceans floor. Scheduled events will be in the WWW and on our whiteboard at camp.  Let's bake magic together!
TC105	West End	Videogasm	75 - 77	Videogasm featuring the Playa Theater. Every night from dusk till at least 2 am we will be showing a variety of shorts, parodies, music videos, cult films, VJ sets, interactive video art, Burning Man related videos and more on our large lakefront screen. In the afternoon, chill to the music in our Sleepy Pickle Lounge, sing some karaoke, play with our water themed games, or try one of our fishbowl cocktails. Grab a handmade Lakes of Fire “Imaginarium Aquarium” trinket from our gifting tree or a  tiny squeaky pig from our Piggie Pool. Live shadowcast of the Rocky Horror Picture Show Friday at midnight! 
TC106	West End	Camp Pop-a-Squat	78 - 79	For our junior year, Camp Pop-a-Squat is coming in hot! Step right up and enjoy our tradition of morning yoga, hot, flowering tea and hand rolled joints. At our camp, you will find impromptu performances throughout the event and are welcome to come make kandi bracelets anytime. Are you a pole-a-rina?! Come try our brand new X-Stage out and show us what you got. Don’t miss our floating water tent, it will be the comfiest spot to land and pop a squat!  We will be providing groovy tunes this year brought to you by ARCHANGEL & guests. Come check out Camp-Pop-a-Squat!!!
TC107	West End	Lux Ephemera	80 - 81	The ephemeral light invites you to be and flow in our space.  Our aim is to provide top notch Sound, Drinks and Art from a teeny little camp.
TC108	West End	LaGoon Reef	82 - 83	Come take a dive at LaGoon Reef! We’ve previously brought you Goon Garden and Grandma Gussie’s Home For Wayward Burners, now follow us into the ocean to find a fabulous sunken treasure costume closet, a more accessible reprise of last year’s Octopus Garden, a sensory sensation called the SeaMonkey ShagPad, and a new audio/visual projection experience on The Cube you’ve come to know and love all nestled in a beautiful coral reef path. Our DJ Frog Legz will be present to provide the jams and beats to keep all you land lovers movin and groovin.
TC109	West End	Evolutionary Illumination	84	Evolutionary Illumination invites you to interact with a 20' interactive kaleidoscopic fractal video screen! Driven by the magic of Lakes of Fire and its participants, our feedback rig responds to people in a magically interactive experience in front of a giant, interactive, and evolving wall of color, patterns, and dance. Feedback with the video creates a never-the-same pattern, color, and light show that reacts to participants playing, dancing, spinning, and contemplating the edges of light and wonder.
TC110	West End	The Gayborhood	85 - 86	Come visit the Gayborhood: home of your favorite queerdos and a handful of straights in an inclusive, disability-friendly space welcome to all. Stop for a rest in the gaybeds or take a dip at the Nood Beach; join a discussion on identity or get in touch with your body through gentle movement. We have a couple of workshop spaces so check out the calendar to see what's going on! From Tea-for-T Time to the Nood Beach Weiner Roast there’s sure to be something to help you queer your mind.
TC111	West End	Prism Lakehouse	87	Prism Lakehouse is a group of neurodivergent queerdos, offering a variety of queer joy and experiences! Check out the interactive Rainbow Pipe Dream water installation! How many water wheels can you spin? Don't miss our nature themed craft workshops! Find insight from a queer tarot reading. Take home one of our polymer clay earring offerings! Come watch or even join our queer talent show! Dive in to some deeper discussions on queerness and our experiences. And stop by Friday at 4:20 to witness Erica and Emily's gay wedding!
TC112	West End	Beantown	87A	We're just some little guys! Beantown is a transmasculine theme camp that revels in the joy of trans experience. We offer a trans gathering space for chatting, relaxing, and snacking.  Come to our Beanie Weenies party for tasty baked beans and lil weenies!
TC113	West End	My Big Fat Weiner	87B	Come check out my Big Fat Weiner! Quality meat with lots of toppings. Spend your night swallowing our meat, taking a snack break and having a good laugh at life. Serving Thursday and Friday around 9, until there gone.
TC114	West End	Unregulated Camp	88	Unregulated Camp is a home brew dive bar, dispensing a wide range of tasty, hand-crafted libations from our draft system. Our offerings will include cold home brewed beer, cider, draft cocktails, and cold brew coffee. Nonalcoholic drinks will also be available. Stop by to learn how to make your own home brew. We'll be brewing on site. After dark, we strongly encourage participants to push our buttons… if the bus is on fire, we’re open!
TC115	West End	Sunrise Saloon	89	Beach facing bar open sunrise hours approximately 5AM-9AM Swinging doors facing the road lead you down the right path A place to wind down from the night or ramp up for the day Refreshing pre batched specialty cocktails/Electrolytes/fruit floating options on the water Cafe Tables and Comfy Beach Loungers Sunglasses/floppy hats/slips/robes/sunscreen available Motown/Low Fi music  No Cuddle Puddles/No Special requests/No complaining Shenanigans and Hijinks welcome
TC116	West End	MEOW*TOWN	90	MEOW*TOWN provides a wide mixture of cat themed activities including the Mystical Kitties Tea & Tarot Lounj, the CAT*HEDRAL dance club, the MEOW*TOWN Marina Art boats, cat theme self play activities, and more.
TC117	West End	Superfriends	91	Come dance to the beat and chill by the pool, sign up for swimming lessons, and have a lovely lounge drink
TC118	West End	Syncytium	92 - 95, W Field	Syncytium!!! Warm yourself at our fires. Dance to our vibes, experience our art. Drink our drinks. Enjoy our snark
TC119	Dere Kamp	Backyard Slum-berland	B41	 Make the Back 40 your backyard. Lawn games, hot dog cookouts, flow practice, nap space, and the (now annual) Rainbow Hair Connection photograph on Saturday.
